Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position
evamatise-tropical-cutout-shapes-in-mint-acrylic-box,evamatise Tropical CutOut Shapes in Mint Acrylic Box,,DENY evamatise,Acrylic Box,"evamatise Tropical CutOut Shapes in Mint Acrylic Box,,at:tropical-cutout-shapes-in-mint,ar:evamatise,new-art,co:artful-boho,pc:multi,sc:multi,st:Modern,th:Botanical,th:abstract,ty:digital-art,accessories,pmc:accessories,acrylic-box,pro:acrylic-box,live,nonexclusive",TRUE,Product,Storage Box,Size,"4"" x 4""",,,80338-acrsmb,15422.128,,0,deny,manual,34.0,34.0,TRUE,TRUE,80338-acrsmb,http://assets.denydesigns.com/web-assets/acrylic-box/evamatise-tropical-cutout-shapes-in-mint-acrylic-box-perspective.jpg,
evamatise-tropical-cutout-shapes-in-mint-acrylic-box,,,,,,,,,,,,,,,,,,,,,,,,http://assets.denydesigns.com/web-assets/acrylic-box/evamatise-tropical-cutout-shapes-in-mint-acrylic-box-perspective-b.jpg
evamatise-tropical-cutout-shapes-in-mint-acrylic-box,,,,,,,,,,,,,,,,,,,,,,,,http://assets.denydesigns.com/web-assets/acrylic-box/evamatise-tropical-cutout-shapes-in-mint-acrylic-box-front.jpg
evamatise-tropical-cutout-shapes-in-mint-acrylic-box,,,,,,,,,,,,,,,,,,,,,,,,http://assets.denydesigns.com/web-assets/acrylic-box/evamatise-tropical-cutout-shapes-in-mint-acrylic-box-lifestyle.jpg
evamatise-tropical-cutout-shapes-in-mint-floating-acrylic-print,evamatise Tropical CutOut Shapes in Mint Floating Acrylic Print,,DENY evamatise,Floating Acrylic Print,"evamatise Tropical CutOut Shapes in Mint Floating Acrylic Print,,at:tropical-cutout-shapes-in-mint,ar:evamatise,new-art,co:artful-boho,pc:multi,sc:multi,st:Modern,th:Botanical,th:abstract,ty:digital-art,wall,floating-acrylic-print,pmc:wall,pro:floating-acrylic-print,live,nonexclusive",TRUE,Size,"8"" x 10""",Standoff Color,Gold,,,80338-acrp01,44905.61,,0,deny,manual,99.0,99.0,TRUE,TRUE,80338-acrp01,http://assets.denydesigns.com/web-assets/acrylic-prints/evamatise-tropical-cutout-shapes-in-mint-8x10-gold-whitebg.jpg,
evamatise-tropical-cutout-shapes-in-mint-floating-acrylic-print,evamatise Tropical CutOut Shapes in Mint Floating Acrylic Print,,DENY evamatise,Floating Acrylic Print,"evamatise Tropical CutOut Shapes in Mint Floating Acrylic Print,,at:tropical-cutout-shapes-in-mint,ar:evamatise,new-art,co:artful-boho,pc:multi,sc:multi,st:Modern,th:Botanical,th:abstract,ty:digital-art,wall,floating-acrylic-print,pmc:wall,pro:floating-acrylic-print,live,nonexclusive",TRUE,Size,"8"" x 10""",Standoff Color,Silver,,,80338-acrp02,44905.61,,0,deny,manual,99.0,99.0,TRUE,TRUE,80338-acrp02,http://assets.denydesigns.com/web-assets/acrylic-prints/evamatise-tropical-cutout-shapes-in-mint-8x10-gold-lifestyle.jpg,
evamatise-tropical-cutout-shapes-in-mint-floating-acrylic-print,evamatise Tropical CutOut Shapes in Mint Floating Acrylic Print,,DENY evamatise,Floating Acrylic Print,"evamatise Tropical CutOut Shapes in Mint Floating Acrylic Print,,at:tropical-cutout-shapes-in-mint,ar:evamatise,new-art,co:artful-boho,pc:multi,sc:multi,st:Modern,th:Botanical,th:abstract,ty:digital-art,wall,floating-acrylic-print,pmc:wall,pro:floating-acrylic-print,live,nonexclusive",TRUE,Size,"8"" x 10""",Standoff Color,Black,,,80338-acrp03,44905.61,,0,deny,manual,99.0,99.0,TRUE,TRUE,80338-acrp03,http://assets.denydesigns.com/web-assets/acrylic-prints/evamatise-tropical-cutout-shapes-in-mint-8x10-silver-whitebg.jpg,
evamatise-tropical-cutout-shapes-in-mint-floating-acrylic-print,evamatise Tropical CutOut Shapes in Mint Floating Acrylic Print,,DENY evamatise,Floating Acrylic Print,"evamatise Tropical CutOut Shapes in Mint Floating Acrylic Print,,at:tropical-cutout-shapes-in-mint,ar:evamatise,new-art,co:artful-boho,pc:multi,sc:multi,st:Modern,th:Botanical,th:abstract,ty:digital-art,wall,floating-acrylic-print,pmc:wall,pro:floating-acrylic-print,live,nonexclusive",TRUE,Size,"10"" x 10""",Standoff Color,Gold,,,80338-acrp04,49441.53,,0,deny,manual,109.0,109.0,TRUE,TRUE,80338-acrp04,http://assets.denydesigns.com/web-assets/acrylic-prints/evamatise-tropical-cutout-shapes-in-mint-8x10-silver-lifestyle.jpg,
evamatise-tropical-cutout-shapes-in-mint-floating-acrylic-print,evamatise Tropical CutOut Shapes in Mint Floating Acrylic Print,,DENY evamatise,Floating Acrylic Print,"evamatise Tropical CutOut Shapes in Mint Floating Acrylic Print,,at:tropical-cutout-shapes-in-mint,ar:evamatise,new-art,co:artful-boho,pc:multi,sc:multi,st:Modern,th:Botanical,th:abstract,ty:digital-art,wall,floating-acrylic-print,pmc:wall,pro:floating-acrylic-print,live,nonexclusive",TRUE,Size,"10"" x 10""",Standoff Color,Silver,,,80338-acrp05,49441.53,,0,deny,manual,109.0,109.0,TRUE,TRUE,80338-acrp05,http://assets.denydesigns.com/web-assets/acrylic-prints/evamatise-tropical-cutout-shapes-in-mint-8x10-black-whitebg.jpg,
evamatise-tropical-cutout-shapes-in-mint-floating-acrylic-print,evamatise Tropical CutOut Shapes in Mint Floating Acrylic Print,,DENY evamatise,Floating Acrylic Print,"evamatise Tropical CutOut Shapes in Mint Floating Acrylic Print,,at:tropical-cutout-shapes-in-mint,ar:evamatise,new-art,co:artful-boho,pc:multi,sc:multi,st:Modern,th:Botanical,th:abstract,ty:digital-art,wall,floating-acrylic-print,pmc:wall,pro:floating-acrylic-print,live,nonexclusive",TRUE,Size,"10"" x 10""",Standoff Color,Black,,,80338-acrp06,49441.53,,0,deny,manual,109.0,109.0,TRUE,TRUE,80338-acrp06,http://assets.denydesigns.com/web-assets/acrylic-prints/evamatise-tropical-cutout-shapes-in-mint-8x10-black-lifestyle.jpg,
